"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"white_pumpkin","white","pumpkin","atyp","color+type","098973381782146"
"white_tomato","white","tomato","atyp","color+type","098973381782146"
"orange_lettuce","orange","lettuce","atyp","color+type","098973381782146"
"green_swan","green","swan","atyp","color+type","098973381782146"
"orange_lettuce","orange","lettuce","atyp","color+type","833157714848553"
"white_swan","white","swan","typ","color+type","833157714848553"
"white_pumpkin","white","pumpkin","atyp","color+type","833157714848553"
"red_broccoli","red","broccoli","atyp","color+type","833157714848553"
"green_carrot","green","carrot","atyp","color+type","833157714848553"
"yellow_egg","yellow","egg","atyp","color+type","833157714848553"
"white_tomato","white","tomato","atyp","color+type","833157714848553"
"white_tomato","white","tomato","atyp","color+type","624757628078735"
"yellow_snowman","yellow","snowman","atyp","color+type","624757628078735"
"orange_banana","orange","banana","atyp","color+type","624757628078735"
"white_pumpkin","white","pumpkin","atyp","color+type","624757628078735"
"green_swan","green","swan","atyp","color+type","624757628078735"
"yellow_strawberry","yellow","strawberry","atyp","color+type","624757628078735"
"orange_banana","orange","banana","atyp","color+type","978538028392465"
"red_broccoli","red","broccoli","atyp","color+type","978538028392465"
"yellow_egg","yellow","egg","atyp","color+type","978538028392465"
"red_corn","red","corn","atyp","color+type","978538028392465"
"green_carrot","green","carrot","atyp","color+type","978538028392465"
"white_pumpkin","white","pumpkin","atyp","color+type","327302845235968"
"white_tomato","white","tomato","atyp","color+type","327302845235968"
"red_broccoli","red","broccoli","atyp","color+type","327302845235968"
"yellow_strawberry","yellow","strawberry","atyp","color+type","799210844793636"
"white_tomato","white","tomato","atyp","color+type","799210844793636"
"red_corn","red","corn","atyp","color+type","799210844793636"
"white_tomato","white","tomato","atyp","color+type","696488963387226"
"yellow_strawberry","yellow","strawberry","atyp","color+type","696488963387226"
"orange_lettuce","orange","lettuce","atyp","color+type","696488963387226"
"yellow_strawberry","yellow","strawberry","atyp","color+type","167034684120499"
"red_broccoli","red","broccoli","atyp","color+type","167034684120499"
"green_carrot","green","carrot","atyp","color+type","167034684120499"
"orange_lettuce","orange","lettuce","atyp","color+type","167034684120499"
"green_swan","green","swan","atyp","color+type","167034684120499"
"white_tomato","white","tomato","atyp","color+type","167034684120499"
"white_pumpkin","white","pumpkin","atyp","color+type","910989843708562"
"orange_lettuce","orange","lettuce","atyp","color+type","910989843708562"
"red_broccoli","red","broccoli","atyp","color+type","567413624271255"
"white_tomato","white","tomato","atyp","color+type","567413624271255"
"yellow_corn","yellow","corn","typ","color+type","567413624271255"
"white_swan","white","swan","typ","color+type","567413624271255"
"red_strawberry","red","strawberry","typ","color+type","567413624271255"
"orange_lettuce","orange","lettuce","atyp","color+type","567413624271255"
"green_carrot","green","carrot","atyp","color+type","567413624271255"
"yellow_banana","yellow","banana","typ","color+type","567413624271255"
"yellow_snowman","yellow","snowman","atyp","color+type","567413624271255"
"orange_pumpkin","orange","pumpkin","typ","color+type","567413624271255"
"white_tomato","white","tomato","atyp","color+type","466575312688981"
"yellow_egg","yellow","egg","atyp","color+type","466575312688981"
"green_carrot","green","carrot","atyp","color+type","466575312688981"
"white_pumpkin","white","pumpkin","atyp","color+type","466575312688981"
"green_swan","green","swan","atyp","color+type","129479117566078"
"green_carrot","green","carrot","atyp","color+type","129479117566078"
"white_tomato","white","tomato","atyp","color+type","129479117566078"
"yellow_egg","yellow","egg","atyp","color+type","129479117566078"
"red_corn","red","corn","atyp","color+type","129479117566078"
"yellow_snowman","yellow","snowman","atyp","color+type","129479117566078"
"white_egg","white","egg","typ","color+type","675034915413253"
"green_lettuce","green","lettuce","typ","color+type","675034915413253"
"red_broccoli","red","broccoli","atyp","color+type","675034915413253"
"yellow_snowman","yellow","snowman","atyp","color+type","675034915413253"
"white_tomato","white","tomato","atyp","color+type","675034915413253"
"white_pumpkin","white","pumpkin","atyp","color+type","675034915413253"
"red_corn","red","corn","atyp","color+type","675034915413253"
"yellow_snowman","yellow","snowman","atyp","color+type","055445551537879"
"red_corn","red","corn","atyp","color+type","055445551537879"
"red_broccoli","red","broccoli","atyp","color+type","055445551537879"
"green_swan","green","swan","atyp","color+type","055445551537879"
"white_tomato","white","tomato","atyp","color+type","055445551537879"
"orange_lettuce","orange","lettuce","atyp","color+type","055445551537879"
"green_carrot","green","carrot","atyp","color+type","055445551537879"
"yellow_strawberry","yellow","strawberry","atyp","color+type","055445551537879"
"orange_banana","orange","banana","atyp","color+type","055445551537879"
"yellow_strawberry","yellow","strawberry","atyp","color+type","135214803759389"
"orange_banana","orange","banana","atyp","color+type","135214803759389"
"red_broccoli","red","broccoli","atyp","color+type","135214803759389"
"yellow_egg","yellow","egg","atyp","color+type","135214803759389"
"green_carrot","green","carrot","atyp","color+type","135214803759389"
"orange_lettuce","orange","lettuce","atyp","color+type","135214803759389"
"green_swan","green","swan","atyp","color+type","135214803759389"
"yellow_snowman","yellow","snowman","atyp","color+type","135214803759389"
"red_corn","red","corn","atyp","color+type","304878509971742"
"white_pumpkin","white","pumpkin","atyp","color+type","304878509971742"
"red_broccoli","red","broccoli","atyp","color+type","304878509971742"
"green_carrot","green","carrot","atyp","color+type","304878509971742"
"yellow_strawberry","yellow","strawberry","atyp","color+type","304878509971742"
"yellow_egg","yellow","egg","atyp","color+type","304878509971742"
"orange_banana","orange","banana","atyp","color+type","571887175962402"
"orange_lettuce","orange","lettuce","atyp","color+type","571887175962402"
"white_tomato","white","tomato","atyp","color+type","571887175962402"
"green_broccoli","green","broccoli","typ","color+type","571887175962402"
"yellow_strawberry","yellow","strawberry","atyp","color+type","571887175962402"
"orange_banana","orange","banana","atyp","color+type","134796966923453"
"white_pumpkin","white","pumpkin","atyp","color+type","134796966923453"
"orange_lettuce","orange","lettuce","atyp","color+type","134796966923453"
"red_broccoli","red","broccoli","atyp","color+type","134796966923453"
"yellow_strawberry","yellow","strawberry","atyp","color+type","134796966923453"
"red_corn","red","corn","atyp","color+type","134796966923453"
"green_carrot","green","carrot","atyp","color+type","905440648095712"
"yellow_strawberry","yellow","strawberry","atyp","color+type","905440648095712"
"yellow_egg","yellow","egg","atyp","color+type","905440648095712"
"orange_lettuce","orange","lettuce","atyp","color+type","905440648095712"
"red_corn","red","corn","atyp","color+type","452307662139158"
"green_carrot","green","carrot","atyp","color+type","452307662139158"
"orange_banana","orange","banana","atyp","color+type","452307662139158"
"green_swan","green","swan","atyp","color+type","452307662139158"
"green_carrot","green","carrot","atyp","color+type","592963225978699"
"yellow_snowman","yellow","snowman","atyp","color+type","592963225978699"
"green_carrot","green","carrot","atyp","color+type","422114365254690"
"yellow_snowman","yellow","snowman","atyp","color+type","422114365254690"
"green_lettuce","green","lettuce","typ","color+type","422114365254690"
"red_strawberry","red","strawberry","typ","color+type","422114365254690"
"yellow_corn","yellow","corn","typ","color+type","422114365254690"
"white_swan","white","swan","typ","color+type","422114365254690"
"orange_banana","orange","banana","atyp","color+type","422114365254690"
"yellow_egg","yellow","egg","atyp","color+type","422114365254690"
"red_tomato","red","tomato","typ","color+type","422114365254690"
"orange_pumpkin","orange","pumpkin","typ","color+type","422114365254690"
"green_carrot","green","carrot","atyp","color+type","377751264996097"
"red_broccoli","red","broccoli","atyp","color+type","377751264996097"
"white_tomato","white","tomato","atyp","color+type","377751264996097"
"orange_banana","orange","banana","atyp","color+type","377751264996097"
"yellow_snowman","yellow","snowman","atyp","color+type","377751264996097"
"green_carrot","green","carrot","atyp","color+type","482618080406748"
"yellow_snowman","yellow","snowman","atyp","color+type","482618080406748"
"green_swan","green","swan","atyp","color+type","482618080406748"
"yellow_egg","yellow","egg","atyp","color+type","482618080406748"
"orange_banana","orange","banana","atyp","color+type","482618080406748"
"white_tomato","white","tomato","atyp","color+type","482618080406748"
"yellow_strawberry","yellow","strawberry","atyp","color+type","482618080406748"
"red_corn","red","corn","atyp","color+type","482618080406748"
"red_broccoli","red","broccoli","atyp","color+type","271919892424795"
"white_egg","white","egg","typ","color+type","271919892424795"
"yellow_snowman","yellow","snowman","atyp","color+type","271919892424795"
"red_corn","red","corn","atyp","color+type","271919892424795"
"orange_banana","orange","banana","atyp","color+type","271919892424795"
"green_carrot","green","carrot","atyp","color+type","271919892424795"
"green_swan","green","swan","atyp","color+type","419293182796964"
"yellow_snowman","yellow","snowman","atyp","color+type","419293182796964"
"green_carrot","green","carrot","atyp","color+type","419293182796964"
"yellow_egg","yellow","egg","atyp","color+type","419293182796964"
"yellow_corn","yellow","corn","typ","color+type","896326960943588"
"orange_lettuce","orange","lettuce","atyp","color+type","896326960943588"
"green_broccoli","green","broccoli","typ","color+type","896326960943588"
"orange_banana","orange","banana","atyp","color+type","889450457702452"
"yellow_egg","yellow","egg","atyp","color+type","889450457702452"
"white_pumpkin","white","pumpkin","atyp","color+type","889450457702452"
"red_broccoli","red","broccoli","atyp","color+type","889450457702452"
"yellow_egg","yellow","egg","atyp","color+type","298247101905463"
"white_tomato","white","tomato","atyp","color+type","298247101905463"
"yellow_strawberry","yellow","strawberry","atyp","color+type","298247101905463"
"green_carrot","green","carrot","atyp","color+type","298247101905463"
"green_swan","green","swan","atyp","color+type","357748951403680"
"green_carrot","green","carrot","atyp","color+type","357748951403680"
"red_broccoli","red","broccoli","atyp","color+type","357748951403680"
"white_pumpkin","white","pumpkin","atyp","color+type","357748951403680"
"orange_banana","orange","banana","atyp","color+type","256761633187177"
"orange_lettuce","orange","lettuce","atyp","color+type","256761633187177"
"red_corn","red","corn","atyp","color+type","256761633187177"
"white_tomato","white","tomato","atyp","color+type","256761633187177"
"yellow_strawberry","yellow","strawberry","atyp","color+type","256761633187177"
"green_swan","green","swan","atyp","color+type","256761633187177"
"green_carrot","green","carrot","atyp","color+type","256761633187177"
"white_pumpkin","white","pumpkin","atyp","color+type","256761633187177"
"white_pumpkin","white","pumpkin","atyp","color+type","105766217614475"
"yellow_strawberry","yellow","strawberry","atyp","color+type","105766217614475"
"red_broccoli","red","broccoli","atyp","color+type","105766217614475"
"white_tomato","white","tomato","atyp","color+type","290675343897931"
"orange_lettuce","orange","lettuce","atyp","color+type","290675343897931"
"yellow_strawberry","yellow","strawberry","atyp","color+type","290675343897931"
"white_pumpkin","white","pumpkin","atyp","color+type","236722573899251"
"green_lettuce","green","lettuce","typ","color+type","236722573899251"
"green_swan","green","swan","atyp","color+type","236722573899251"
"orange_banana","orange","banana","atyp","color+type","236722573899251"
"red_corn","red","corn","atyp","color+type","236722573899251"
"green_lettuce","green","lettuce","typ","color+type","478608573772944"
"yellow_snowman","yellow","snowman","atyp","color+type","478608573772944"
"green_carrot","green","carrot","atyp","color+type","478608573772944"
"yellow_egg","yellow","egg","atyp","color+type","478608573772944"
"green_swan","green","swan","atyp","color+type","063504560296518"
"orange_banana","orange","banana","atyp","color+type","063504560296518"
"white_tomato","white","tomato","atyp","color+type","063504560296518"
"orange_lettuce","orange","lettuce","atyp","color+type","063504560296518"
"white_snowman","white","snowman","typ","color+type","168757554853520"
"yellow_strawberry","yellow","strawberry","atyp","color+type","168757554853520"
"yellow_corn","yellow","corn","typ","color+type","168757554853520"
"white_pumpkin","white","pumpkin","atyp","color+type","168757554853520"
"yellow_banana","yellow","banana","typ","color+type","168757554853520"
"white_swan","white","swan","typ","color+type","168757554853520"
"red_tomato","red","tomato","typ","color+type","168757554853520"
"white_egg","white","egg","typ","color+type","168757554853520"
"orange_carrot","orange","carrot","typ","color+type","168757554853520"
"green_broccoli","green","broccoli","typ","color+type","168757554853520"
"green_swan","green","swan","atyp","color+type","579980352889799"
"yellow_snowman","yellow","snowman","atyp","color+type","579980352889799"
"orange_lettuce","orange","lettuce","atyp","color+type","579980352889799"
"orange_banana","orange","banana","atyp","color+type","579980352889799"
"white_pumpkin","white","pumpkin","atyp","color+type","579980352889799"
"yellow_egg","yellow","egg","atyp","color+type","579980352889799"
"white_tomato","white","tomato","atyp","color+type","579980352889799"
"white_tomato","white","tomato","atyp","color+type","655965624481917"
"orange_lettuce","orange","lettuce","atyp","color+type","655965624481917"
"yellow_strawberry","yellow","strawberry","atyp","color+type","655965624481917"
"red_corn","red","corn","atyp","color+type","655965624481917"
"orange_banana","orange","banana","atyp","color+type","655965624481917"
"yellow_strawberry","yellow","strawberry","atyp","color+type","859806752000542"
"white_pumpkin","white","pumpkin","atyp","color+type","859806752000542"
"orange_lettuce","orange","lettuce","atyp","color+type","859806752000542"
"green_carrot","green","carrot","atyp","color+type","859806752000542"
"yellow_corn","yellow","corn","typ","type","072991819913452"
"white_swan","white","swan","typ","type","072991819913452"
"orange_pumpkin","orange","pumpkin","typ","type","072991819913452"
"red_strawberry","red","strawberry","typ","type","072991819913452"
"green_lettuce","green","lettuce","typ","type","072991819913452"
"yellow_banana","yellow","banana","typ","type","072991819913452"
"red_tomato","red","tomato","typ","type","072991819913452"
"orange_pumpkin","orange","pumpkin","typ","type","019224102925037"
"yellow_corn","yellow","corn","typ","type","019224102925037"
"orange_carrot","orange","carrot","typ","type","019224102925037"
"red_tomato","red","tomato","typ","type","019224102925037"
"white_egg","white","egg","typ","type","019224102925037"
"yellow_banana","yellow","banana","typ","type","019224102925037"
"yellow_snowman","yellow","snowman","atyp","type","019224102925037"
"white_swan","white","swan","typ","type","085638838858584"
"red_tomato","red","tomato","typ","type","085638838858584"
"green_broccoli","green","broccoli","typ","type","085638838858584"
"white_egg","white","egg","typ","type","085638838858584"
"orange_pumpkin","orange","pumpkin","typ","type","085638838858584"
"yellow_corn","yellow","corn","typ","type","085638838858584"
"green_lettuce","green","lettuce","typ","type","085638838858584"
"yellow_banana","yellow","banana","typ","type","683248109305865"
"green_broccoli","green","broccoli","typ","type","683248109305865"
"white_swan","white","swan","typ","type","683248109305865"
"white_snowman","white","snowman","typ","type","683248109305865"
"yellow_corn","yellow","corn","typ","type","683248109305865"
"orange_pumpkin","orange","pumpkin","typ","type","683248109305865"
"red_tomato","red","tomato","typ","type","434822681183784"
"orange_carrot","orange","carrot","typ","type","434822681183784"
"yellow_corn","yellow","corn","typ","type","434822681183784"
"orange_pumpkin","orange","pumpkin","typ","type","434822681183784"
"white_swan","white","swan","typ","type","434822681183784"
"yellow_snowman","yellow","snowman","atyp","type","434822681183784"
"red_strawberry","red","strawberry","typ","type","732891697152835"
"green_broccoli","green","broccoli","typ","type","732891697152835"
"red_tomato","red","tomato","typ","type","732891697152835"
"white_snowman","white","snowman","typ","type","732891697152835"
"yellow_corn","yellow","corn","typ","type","732891697152835"
"green_lettuce","green","lettuce","typ","type","860010661926049"
"green_broccoli","green","broccoli","typ","type","860010661926049"
"yellow_banana","yellow","banana","typ","type","860010661926049"
"white_swan","white","swan","typ","type","860010661926049"
"white_egg","white","egg","typ","type","098973381782146"
"green_broccoli","green","broccoli","typ","type","098973381782146"
"white_snowman","white","snowman","typ","type","098973381782146"
"yellow_corn","yellow","corn","typ","type","098973381782146"
"orange_carrot","orange","carrot","typ","type","098973381782146"
"red_strawberry","red","strawberry","typ","type","098973381782146"
"red_strawberry","red","strawberry","typ","type","833157714848553"
"yellow_corn","yellow","corn","typ","type","833157714848553"
"white_snowman","white","snowman","typ","type","833157714848553"
"yellow_banana","yellow","banana","typ","type","833157714848553"
"yellow_corn","yellow","corn","typ","type","624757628078735"
"orange_carrot","orange","carrot","typ","type","624757628078735"
"green_broccoli","green","broccoli","typ","type","624757628078735"
"green_lettuce","green","lettuce","typ","type","624757628078735"
"white_egg","white","egg","typ","type","624757628078735"
"orange_pumpkin","orange","pumpkin","typ","type","978538028392465"
"white_snowman","white","snowman","typ","type","978538028392465"
"red_strawberry","red","strawberry","typ","type","978538028392465"
"green_lettuce","green","lettuce","typ","type","978538028392465"
"green_swan","green","swan","atyp","type","978538028392465"
"red_tomato","red","tomato","typ","type","978538028392465"
"white_egg","white","egg","typ","type","327302845235968"
"white_snowman","white","snowman","typ","type","327302845235968"
"yellow_corn","yellow","corn","typ","type","327302845235968"
"orange_carrot","orange","carrot","typ","type","327302845235968"
"red_strawberry","red","strawberry","typ","type","327302845235968"
"orange_banana","orange","banana","atyp","type","327302845235968"
"green_lettuce","green","lettuce","typ","type","327302845235968"
"white_swan","white","swan","typ","type","327302845235968"
"white_swan","white","swan","typ","type","799210844793636"
"orange_carrot","orange","carrot","typ","type","799210844793636"
"orange_pumpkin","orange","pumpkin","typ","type","799210844793636"
"white_snowman","white","snowman","typ","type","799210844793636"
"yellow_banana","yellow","banana","typ","type","799210844793636"
"green_broccoli","green","broccoli","typ","type","799210844793636"
"yellow_egg","yellow","egg","atyp","type","799210844793636"
"green_lettuce","green","lettuce","typ","type","799210844793636"
"orange_pumpkin","orange","pumpkin","typ","type","696488963387226"
"white_snowman","white","snowman","typ","type","696488963387226"
"white_swan","white","swan","typ","type","696488963387226"
"green_broccoli","green","broccoli","typ","type","696488963387226"
"white_egg","white","egg","typ","type","696488963387226"
"yellow_corn","yellow","corn","typ","type","696488963387226"
"orange_carrot","orange","carrot","typ","type","696488963387226"
"yellow_banana","yellow","banana","typ","type","696488963387226"
"yellow_corn","yellow","corn","typ","type","167034684120499"
"white_snowman","white","snowman","typ","type","167034684120499"
"orange_pumpkin","orange","pumpkin","typ","type","167034684120499"
"white_egg","white","egg","typ","type","167034684120499"
"yellow_banana","yellow","banana","typ","type","167034684120499"
"green_broccoli","green","broccoli","typ","type","910989843708562"
"white_swan","white","swan","typ","type","910989843708562"
"white_egg","white","egg","typ","type","910989843708562"
"yellow_corn","yellow","corn","typ","type","910989843708562"
"red_strawberry","red","strawberry","typ","type","910989843708562"
"orange_carrot","orange","carrot","typ","type","910989843708562"
"red_tomato","red","tomato","typ","type","910989843708562"
"yellow_banana","yellow","banana","typ","type","910989843708562"
"white_snowman","white","snowman","typ","type","910989843708562"
"white_egg","white","egg","typ","type","567413624271255"
"white_swan","white","swan","typ","type","466575312688981"
"green_broccoli","green","broccoli","typ","type","466575312688981"
"yellow_banana","yellow","banana","typ","type","466575312688981"
"green_lettuce","green","lettuce","typ","type","466575312688981"
"red_strawberry","red","strawberry","typ","type","466575312688981"
"yellow_corn","yellow","corn","typ","type","466575312688981"
"white_snowman","white","snowman","typ","type","466575312688981"
"orange_pumpkin","orange","pumpkin","typ","type","129479117566078"
"orange_banana","orange","banana","atyp","type","129479117566078"
"green_lettuce","green","lettuce","typ","type","129479117566078"
"green_broccoli","green","broccoli","typ","type","129479117566078"
"red_strawberry","red","strawberry","typ","type","129479117566078"
"red_strawberry","red","strawberry","typ","type","675034915413253"
"orange_banana","orange","banana","atyp","type","675034915413253"
"white_swan","white","swan","typ","type","675034915413253"
"orange_carrot","orange","carrot","typ","type","675034915413253"
"white_egg","white","egg","typ","type","055445551537879"
"orange_pumpkin","orange","pumpkin","typ","type","055445551537879"
"orange_pumpkin","orange","pumpkin","typ","type","135214803759389"
"red_tomato","red","tomato","typ","type","135214803759389"
"yellow_corn","yellow","corn","typ","type","135214803759389"
"yellow_snowman","yellow","snowman","atyp","type","304878509971742"
"red_tomato","red","tomato","typ","type","304878509971742"
"yellow_banana","yellow","banana","typ","type","304878509971742"
"green_lettuce","green","lettuce","typ","type","304878509971742"
"white_swan","white","swan","typ","type","304878509971742"
"yellow_corn","yellow","corn","typ","type","571887175962402"
"white_swan","white","swan","typ","type","571887175962402"
"orange_pumpkin","orange","pumpkin","typ","type","571887175962402"
"orange_carrot","orange","carrot","typ","type","571887175962402"
"white_egg","white","egg","typ","type","571887175962402"
"white_snowman","white","snowman","typ","type","571887175962402"
"white_snowman","white","snowman","typ","type","134796966923453"
"orange_carrot","orange","carrot","typ","type","134796966923453"
"red_tomato","red","tomato","typ","type","134796966923453"
"white_swan","white","swan","typ","type","134796966923453"
"white_egg","white","egg","typ","type","134796966923453"
"orange_pumpkin","orange","pumpkin","typ","type","905440648095712"
"green_broccoli","green","broccoli","typ","type","905440648095712"
"red_tomato","red","tomato","typ","type","905440648095712"
"yellow_corn","yellow","corn","typ","type","905440648095712"
"yellow_snowman","yellow","snowman","atyp","type","905440648095712"
"white_swan","white","swan","typ","type","905440648095712"
"orange_banana","orange","banana","atyp","type","905440648095712"
"white_snowman","white","snowman","typ","type","452307662139158"
"red_tomato","red","tomato","typ","type","452307662139158"
"orange_pumpkin","orange","pumpkin","typ","type","452307662139158"
"white_egg","white","egg","typ","type","452307662139158"
"green_broccoli","green","broccoli","typ","type","452307662139158"
"green_lettuce","green","lettuce","typ","type","452307662139158"
"red_strawberry","red","strawberry","typ","type","452307662139158"
"yellow_banana","yellow","banana","typ","type","592963225978699"
"red_strawberry","red","strawberry","typ","type","592963225978699"
"yellow_corn","yellow","corn","typ","type","592963225978699"
"green_lettuce","green","lettuce","typ","type","592963225978699"
"red_tomato","red","tomato","typ","type","592963225978699"
"white_swan","white","swan","typ","type","592963225978699"
"white_egg","white","egg","typ","type","592963225978699"
"orange_pumpkin","orange","pumpkin","typ","type","592963225978699"
"green_broccoli","green","broccoli","typ","type","592963225978699"
"yellow_strawberry","yellow","strawberry","atyp","type","801540444088136"
"orange_lettuce","orange","lettuce","atyp","type","801540444088136"
"orange_carrot","orange","carrot","typ","type","801540444088136"
"yellow_egg","yellow","egg","atyp","type","801540444088136"
"yellow_snowman","yellow","snowman","atyp","type","801540444088136"
"green_broccoli","green","broccoli","typ","type","801540444088136"
"yellow_banana","yellow","banana","typ","type","801540444088136"
"yellow_corn","yellow","corn","typ","type","801540444088136"
"white_swan","white","swan","typ","type","801540444088136"
"orange_pumpkin","orange","pumpkin","typ","type","801540444088136"
"white_tomato","white","tomato","atyp","type","801540444088136"
"green_broccoli","green","broccoli","typ","type","422114365254690"
"white_egg","white","egg","typ","type","377751264996097"
"green_lettuce","green","lettuce","typ","type","377751264996097"
"orange_pumpkin","orange","pumpkin","typ","type","377751264996097"
"red_strawberry","red","strawberry","typ","type","377751264996097"
"yellow_corn","yellow","corn","typ","type","377751264996097"
"white_swan","white","swan","typ","type","377751264996097"
"green_broccoli","green","broccoli","typ","type","482618080406748"
"orange_pumpkin","orange","pumpkin","typ","type","482618080406748"
"green_lettuce","green","lettuce","typ","type","482618080406748"
"red_strawberry","red","strawberry","typ","type","271919892424795"
"white_swan","white","swan","typ","type","271919892424795"
"red_tomato","red","tomato","typ","type","271919892424795"
"green_lettuce","green","lettuce","typ","type","271919892424795"
"orange_pumpkin","orange","pumpkin","typ","type","271919892424795"
"yellow_corn","yellow","corn","typ","type","419293182796964"
"green_lettuce","green","lettuce","typ","type","419293182796964"
"red_strawberry","red","strawberry","typ","type","419293182796964"
"yellow_banana","yellow","banana","typ","type","419293182796964"
"red_tomato","red","tomato","typ","type","419293182796964"
"orange_pumpkin","orange","pumpkin","typ","type","419293182796964"
"green_broccoli","green","broccoli","typ","type","419293182796964"
"yellow_egg","yellow","egg","atyp","type","896326960943588"
"yellow_banana","yellow","banana","typ","type","896326960943588"
"white_swan","white","swan","typ","type","896326960943588"
"red_tomato","red","tomato","typ","type","896326960943588"
"yellow_snowman","yellow","snowman","atyp","type","896326960943588"
"orange_carrot","orange","carrot","typ","type","896326960943588"
"orange_pumpkin","orange","pumpkin","typ","type","896326960943588"
"red_strawberry","red","strawberry","typ","type","896326960943588"
"green_lettuce","green","lettuce","typ","type","889450457702452"
"red_strawberry","red","strawberry","typ","type","889450457702452"
"white_snowman","white","snowman","typ","type","889450457702452"
"white_swan","white","swan","typ","type","889450457702452"
"red_tomato","red","tomato","typ","type","889450457702452"
"yellow_corn","yellow","corn","typ","type","889450457702452"
"orange_carrot","orange","carrot","typ","type","889450457702452"
"white_pumpkin","white","pumpkin","atyp","type","298247101905463"
"yellow_corn","yellow","corn","typ","type","298247101905463"
"green_broccoli","green","broccoli","typ","type","298247101905463"
"white_swan","white","swan","typ","type","298247101905463"
"green_lettuce","green","lettuce","typ","type","298247101905463"
"yellow_banana","yellow","banana","typ","type","298247101905463"
"white_snowman","white","snowman","typ","type","298247101905463"
"red_tomato","red","tomato","typ","type","357748951403680"
"yellow_corn","yellow","corn","typ","type","357748951403680"
"green_lettuce","green","lettuce","typ","type","357748951403680"
"yellow_banana","yellow","banana","typ","type","357748951403680"
"white_snowman","white","snowman","typ","type","357748951403680"
"white_egg","white","egg","typ","type","357748951403680"
"red_strawberry","red","strawberry","typ","type","357748951403680"
"green_broccoli","green","broccoli","typ","type","256761633187177"
"white_snowman","white","snowman","typ","type","256761633187177"
"white_egg","white","egg","typ","type","256761633187177"
"yellow_egg","yellow","egg","atyp","type","105766217614475"
"red_tomato","red","tomato","typ","type","105766217614475"
"white_swan","white","swan","typ","type","105766217614475"
"green_lettuce","green","lettuce","typ","type","105766217614475"
"yellow_banana","yellow","banana","typ","type","105766217614475"
"orange_carrot","orange","carrot","typ","type","105766217614475"
"yellow_corn","yellow","corn","typ","type","105766217614475"
"white_snowman","white","snowman","typ","type","105766217614475"
"orange_pumpkin","orange","pumpkin","typ","type","290675343897931"
"yellow_egg","yellow","egg","atyp","type","290675343897931"
"orange_carrot","orange","carrot","typ","type","290675343897931"
"green_broccoli","green","broccoli","typ","type","290675343897931"
"yellow_banana","yellow","banana","typ","type","290675343897931"
"white_swan","white","swan","typ","type","290675343897931"
"yellow_corn","yellow","corn","typ","type","290675343897931"
"yellow_snowman","yellow","snowman","atyp","type","290675343897931"
"white_snowman","white","snowman","typ","type","236722573899251"
"orange_carrot","orange","carrot","typ","type","236722573899251"
"green_broccoli","green","broccoli","typ","type","236722573899251"
"red_strawberry","red","strawberry","typ","type","236722573899251"
"white_egg","white","egg","typ","type","236722573899251"
"red_tomato","red","tomato","typ","type","236722573899251"
"green_broccoli","green","broccoli","typ","type","478608573772944"
"orange_pumpkin","orange","pumpkin","typ","type","478608573772944"
